,STN,LON,LAT,STN_2,REG_NAME,STN_EN,FCT_ID,LAW_ID,BASIN
0,90,128.56473,38.25085,90,속초,Sokcho,11D20401,5182033035,----
2,95,127.3042,38.14787,101,철원,Cheorwon,11D10101,5178025624,----
3,98,127.0607,37.90188,119,동두천,Dongducheon,11B20401,4125010300,----
4,99,126.76648,37.88589,119,파주,Paju,11B20305,4148025025,----
5,100,128.71834,37.67713,100,대관령,Daegwallyeong,11D20201,5176038024,----
6,101,127.7357,37.90262,101,춘천,Chuncheon,11D10301,5111011800,----
7,102,124.71237,37.97396,102,백령도,Baengnyeongdo,11A00101,2872033021,----
9,105,128.89099,37.75147,105,강릉,Gangneung,11D20501,5115010700,----
10,106,129.12433,37.50709,106,동해,Donghae,11D20601,5117010400,----
11,108,126.9658,37.57142,108,서울,Seoul,11B10101,1111017800,----
12,112,126.6249,37.47772,112,인천,Incheon,11B20201,2811013700,----
13,114,127.94659,37.33749,114,원주,Wonju,11D10401,5113010600,----
14,115,130.89863,37.48129,115,울릉도,Ulleungdo,1.10E+102,4794025024,----
15,119,126.983,37.25746,109,수원,Suwon,11B20601,4111312800,----
16,121,128.45743,37.18126,121,영월,Yeongwol,11D10501,5175025022,----
17,127,127.9525,36.97045,131,충주,Chungju,11C10101,4313012200,----
18,129,126.4939,36.77658,129,서산,Seosan,11C20101,4421010600,----
19,130,129.41278,36.99176,136,울진,Uljin,11H10101,4793025023,----
20,131,127.44066,36.63924,131,청주,Cheongju,11C10301,4311311400,----
21,133,127.3721,36.37199,133,대전,Daejeon,11C20401,3020012400,----
22,135,127.99458,36.22025,131,추풍령,Chupungnyeong,11C10401,4374033521,----
23,136,128.70733,36.57293,136,안동,Andong,11H10501,4717012900,----
24,137,128.15741,36.40837,143,상주,Sangju,11H10302,4725011000,----
25,138,129.38002,36.03201,138,포항,Pohang,11H10201,4711110400,----
26,140,126.76135,36.0053,146,군산,Gunsan,21F10501,4513010300,----
27,143,128.65296,35.87797,143,대구,Daegu,11H10701,2714010300,----
28,146,127.11718,35.84092,146,전주,Jeonju,11F10201,4511310600,----
29,152,129.33469,35.58237,152,울산,Ulsan,11H20101,3111011400,----
30,155,128.57282,35.17019,155,창원,Changwon,11H20301,4812510100,----
31,156,126.89156,35.17294,156,광주,Gwangju,11F20501,2917010900,----
32,159,129.03203,35.10468,159,부산,Busan,11H20201,2611011600,----
33,162,128.43561,34.84541,159,통영,Tongyeong,11H20401,4822010900,----
34,165,126.38151,34.81732,165,목포,Mokpo,21F20801,4611010300,----
35,168,127.74063,34.73929,168,여수,Yeosu,11F20401,4613010700,----
36,169,125.45105,34.68719,169,흑산도,Heuksando,11F20701,4691036022,----
37,170,126.70182,34.3959,165,완도,Wando,11F20301,4689031022,----
38,172,126.599,35.34824,146,고창,Gochang,21F10601,4579038025,----
39,174,127.3694,35.0204,156,순천,Suncheon,11F20600,4615025025,----
40,177,126.68772,36.65759,177,홍성,Hongseong,11C20104,4480025625,----
42,184,126.52969,33.51411,184,제주,Jeju,11G00201,5011010700,----
43,185,126.16283,33.29382,184,고산,Gosan,11G00501,5011031023,----
44,188,126.8802,33.38677,184,성산,Seongsan,11G00101,5013025927,----
45,189,126.5653,33.24616,184,서귀포,Seogwipo,11G00401,5013010100,----
46,192,128.04004,35.16378,155,진주,Jinju,11H20701,4817012600,----
47,201,126.44634,37.70739,112,강화,Ganghwa,11B20101,2871032027,----
48,202,127.49446,37.48863,119,양평,Yangpyeong,11B20503,4183025021,----
49,203,127.48421,37.26399,119,이천,Icheon,11B20701,4150025328,----
50,211,128.16714,38.05986,211,인제,Inje,11D10201,5181025022,----
51,212,127.88043,37.6836,101,홍천,Hongcheon,11D10302,5172025029,----
52,216,128.98929,37.17038,216,태백,Taebaek,11D20301,5119010100,----
54,221,128.19433,37.15928,131,제천,Jecheon,11C10201,4315011200,----
55,226,127.73415,36.48761,131,보은,Boeun,11C10302,4372025030,----
56,232,127.29282,36.76217,133,천안,Cheonan,11C20301,4413136022,----
57,235,126.55744,36.32724,133,보령,Boryeong,11C20201,4418010900,----
58,236,126.92079,36.27242,133,부여,Buyeo,11C20501,4476025033,----
59,238,127.48175,36.10563,133,금산,Geumsan,11C20601,4471025025,----
60,239,127.24438,36.48522,133,세종,sejong,11C20404,3611010800,----
61,243,126.71657,35.72961,146,부안,Buan,21F10602,4580033021,----
62,244,127.28556,35.61203,146,임실,Imsil,11F10402,4575025022,----
63,245,126.83904,35.56337,146,정읍,Jeongeup,11F10203,4518010800,----
64,247,127.39652,35.4213,146,남원,Namwon,11F10401,4519011600,----
65,248,127.52031,35.65696,146,장수,Jangsu,11F10301,4574025023,----
74,260,126.91951,34.68886,165,장흥,Jangheung,11F20304,4680025043,----
75,261,126.56907,34.55375,165,해남,Haenam,11F20302,4682025034,----
76,262,127.27572,34.61826,168,고흥,Goheung,11F20403,4677025029,----
81,271,128.91449,36.94361,136,봉화,Bonghwa,11H10402,4792034021,----
82,272,128.51687,36.87183,136,영주,Yeongju,11H10401,4721025021,----
83,273,128.14879,36.62727,136,문경,Mungyeong,11H10301,4728010800,----
85,277,129.40926,36.53337,138,영덕,Yeongdeok,11H10102,4777036030,----
86,278,128.68864,36.3561,143,의성,Uiseong,11H10502,4773025031,----
87,279,128.32055,36.13055,143,구미,Gumi,11H10602,4719010800,----
88,281,128.9514,35.97742,143,영천,Yeongcheon,11H10702,4723010200,----
90,284,127.9099,35.66739,152,거창,Geochang,11H20502,4888025028,----
91,285,128.16994,35.56505,152,합천,Hapcheon,11H20503,4889025021,----
92,288,128.74412,35.49147,152,밀양,Miryang,11H20601,4827010200,----
93,289,127.8791,35.413,155,산청,Sancheong,11H20703,4886025023,----
94,294,128.60459,34.88818,159,거제,Geoje,11H20403,4831010800,----
95,295,127.92641,34.81662,159,남해,Namhae,11H20405,4884031021,----
